Lake,Year,Departure/Arrival,Date
Krankesjön,2004/2005,Departure,20/10/2004
Krankesjön,2004/2005,Departure,30/01/2005
Krankesjön,2004/2005,Departure,10/01/2005
Krankesjön,2004/2005,Departure,11/01/2005
Krankesjön,2004/2005,Departure,28/09/2004
Krankesjön,2004/2005,Departure,22/09/2004
Krankesjön,2004/2005,Departure,15/01/2005
Krankesjön,2004/2005,Departure,11/01/2005
Krankesjön,2004/2005,Departure,13/01/2005
Krankesjön,2004/2005,Departure,10/01/2005
Krankesjön,2004/2005,Departure,10/01/2005
Krankesjön,2004/2005,Departure,26/12/2004
Krankesjön,2004/2005,Departure,9/10/2004
Krankesjön,2004/2005,Departure,8/10/2004
Krankesjön,2004/2005,Departure,7/10/2004
Krankesjön,2004/2005,Departure,2/10/2004
Krankesjön,2004/2005,Departure,27/09/2004
Krankesjön,2004/2005,Departure,7/10/2004
Krankesjön,2004/2005,Departure,25/09/2004
Krankesjön,2004/2005,Departure,13/11/2004
Krankesjön,2004/2005,Departure,22/09/2004
Krankesjön,2004/2005,Departure,24/11/2004
Krankesjön,2004/2005,Departure,20/09/2004
Krankesjön,2004/2005,Departure,23/10/2004
Krankesjön,2004/2005,Departure,30/10/2004
Krankesjön,2004/2005,Departure,25/10/2004
Krankesjön,2004/2005,Departure,30/09/2004
Krankesjön,2004/2005,Departure,7/10/2004
Krankesjön,2004/2005,Departure,23/09/2004
Krankesjön,2004/2005,Departure,8/10/2004
Krankesjön,2004/2005,Departure,8/10/2004
Krankesjön,2004/2005,Departure,7/10/2004
Krankesjön,2004/2005,Departure,7/10/2004
Krankesjön,2004/2005,Departure,7/10/2004
Krankesjön,2004/2005,Departure,24/09/2004
Krankesjön,2004/2005,Departure,25/09/2004
Krankesjön,2004/2005,Departure,30/09/2004
Krankesjön,2004/2005,Departure,28/09/2004
Krankesjön,2004/2005,Departure,25/09/2004
Krankesjön,2004/2005,Departure,24/09/2004
Krankesjön,2004/2005,Departure,23/09/2004
Krankesjön,2004/2005,Departure,23/09/2004
Krankesjön,2004/2005,Departure,22/09/2004
Krankesjön,2004/2005,Departure,21/09/2004
Krankesjön,2004/2005,Departure,17/09/2004
Krankesjön,2004/2005,Departure,21/09/2004
Krankesjön,2004/2005,Departure,17/09/2004
Krankesjön,2004/2005,Departure,18/09/2004
Krankesjön,2004/2005,Departure,22/09/2004
Krankesjön,2004/2005,Departure,3/09/2004
Krankesjön,2004/2005,Departure,3/09/2004
Krankesjön,2004/2005,Departure,24/09/2004
Krankesjön,2004/2005,Departure,22/09/2004
Krankesjön,2004/2005,Departure,23/09/2004
Krankesjön,2004/2005,Departure,23/09/2004
Krankesjön,2004/2005,Departure,8/10/2004
Krankesjön,2004/2005,Departure,15/01/2005
Krankesjön,2004/2005,Departure,10/01/2005
Krankesjön,2004/2005,Departure,29/09/2004
Krankesjön,2004/2005,Departure,23/09/2004
Krankesjön,2004/2005,Departure,29/09/2004
Krankesjön,2004/2005,Departure,7/10/2004
Krankesjön,2004/2005,Departure,18/09/2004
Krankesjön,2004/2005,Departure,6/02/2005
Krankesjön,2004/2005,Departure,4/02/2005
Krankesjön,2004/2005,Departure,7/10/2004
Krankesjön,2004/2005,Departure,5/10/2004
Krankesjön,2004/2005,Departure,20/11/2004
Krankesjön,2004/2005,Departure,28/09/2004
Krankesjön,2004/2005,Departure,3/10/2004
Krankesjön,2004/2005,Departure,22/09/2004
Krankesjön,2004/2005,Departure,27/09/2004
Krankesjön,2004/2005,Departure,7/10/2004
Krankesjön,2004/2005,Departure,7/10/2004
Krankesjön,2004/2005,Departure,8/10/2004
Krankesjön,2004/2005,Departure,7/10/2004
Krankesjön,2004/2005,Departure,7/10/2004
Krankesjön,2004/2005,Departure,12/12/2004
Krankesjön,2004/2005,Departure,4/10/2004
Krankesjön,2004/2005,Departure,29/09/2004
Krankesjön,2004/2005,Departure,28/09/2004
Krankesjön,2004/2005,Departure,27/09/2004
Krankesjön,2004/2005,Departure,29/11/2004
Krankesjön,2004/2005,Departure,26/09/2004
Krankesjön,2004/2005,Departure,23/09/2004
Krankesjön,2004/2005,Departure,24/09/2004
Krankesjön,2004/2005,Departure,22/09/2004
Krankesjön,2004/2005,Departure,23/09/2004
Krankesjön,2004/2005,Departure,21/09/2004
Krankesjön,2004/2005,Departure,15/11/2004
Krankesjön,2004/2005,Departure,22/09/2004
Krankesjön,2004/2005,Departure,24/09/2004
Krankesjön,2004/2005,Departure,24/10/2004
Krankesjön,2004/2005,Departure,7/10/2004
Krankesjön,2004/2005,Departure,8/10/2004
Krankesjön,2004/2005,Departure,27/10/2004
Krankesjön,2004/2005,Departure,7/10/2004
